slug,state,course_name,course_type,language,provider_type,provider_name,affiliate_partner,partner_badge,duration_hours,price_usd,eligibility,identity_verification,reporting_method,certificate_delivery,retake_policy,affiliate_link,show_modules,headline,subhead,hero_cta_label,badge_list,faq_set_key,terms_url,privacy_url,blurb
fl-bdi,FL,Florida Basic Driver Improvement (English),BDI,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4,24.95,Elective/court/DMV; eligible once every 12 months and max 5 times lifetime,10 ID questions; must answer ≥70% correctly during random checks,Electronic reporting to FL DHSMV after completion; student must notify court/insurance if required,Electronic certificate available; electronic state reporting,Not specified,https://courses.ticketschool.com/FL-BDI2/register_2.asp?Aff=434,FALSE,"Become a Safer, Smarter Driver","State-approved, mobile-friendly, and 100% online. Finish at your own pace.",Start Now,Mobile Friendly|Instant Certificate|Secure Checkout,florida_bdi,/terms,/privacy,Dismiss a ticket and keep points off your record with a state‑approved Basic Driver Improvement course.
fl-bdi-es,FL,Florida Basic Driver Improvement (Spanish),BDI,Spanish,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4,24.95,Same as English BDI; eligible once every 12 months and max 5 times lifetime,10 ID questions; must answer ≥70% correctly during random checks,Electronic reporting to FL DHSMV after completion; student must notify court/insurance if required,Electronic certificate available; electronic state reporting,Not specified,https://courses.ticketschool.com/FL-BDI2-SP/register_2.asp?Aff=434,FALSE,Conduce más seguro e inteligente,"Aprobado por el estado, compatible con móviles y 100% en línea.",Comenzar,Móvil|Certificado instantáneo|Pago seguro,florida_bdi,/terms,/privacy,Dismiss a ticket and keep points off your record with a state‑approved Basic Driver Improvement course.
fl-tlsae,FL,Florida Drug and Alcohol Course (TLSAE),TLSAE,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4,29,Required for first-time drivers (age rules apply),10 yes/no ID questions; multiple failures may cause disqualification,Certificate available; provider may not auto-report,Immediate PDF download if electronic delivery selected,Not specified,https://courses.ticketschool.com/FL-START2/registration/?Aff=434,FALSE,First-Time Driver? Start Here,"State-approved TLSAE—learn the essentials, all online.",Enroll Now,State Approved|Mobile Friendly|PDF Certificate,florida_tlsae,/terms,/privacy,First‑time driver course covering traffic law and substance education required before your license.
fl-adi,FL,Florida Advanced Driver Improvement (ADI),ADI,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,12,63,For suspensions/reinstatement or court-ordered requirements,Identity validation per state rules (ID questions during course),Provider reports completion electronically to the State of Florida,Electronic Certificate of Completion available immediately,Not specified,https://courses.ticketschool.com/FL-ADI2/registration/?Aff=434,FALSE,Get Back on the Road,12-hour ADI—state-approved and 100% online.,Start ADI,State Approved|E-Certificate|Mobile Friendly,florida_adi,/terms,/privacy,12‑hour Advanced Driver Improvement for suspensions/reinstatement or court‑ordered requirements.
fl-idi,FL,Florida Intermediate Driver Improvement (IDI),IDI,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,8,59.95,Court-ordered in some cases; verify local rules,10 ID questions; failure rate threshold applies,Student submits certificate to the court/authority,Completion certificate provided to student,Not specified,https://courses.ticketschool.com/FL-IDI2/registration/?Aff=434,FALSE,Court-Ordered 8-Hour Course,Complete online and submit your certificate to the court.,Start IDI,Court Accepted|Mobile Friendly|Certificate Provided,florida_idi,/terms,/privacy,8‑hour Intermediate Driver Improvement—complete online and submit your certificate to the court.
fl-exam,FL,Florida Driver License Exam (Online),Exam,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,,24.95,Under 18 eligible; other age rules apply,Per FL online testing rules; parent proctor form may apply,Results transmitted to DMV systems,Not applicable (exam result),Not specified,https://courses.ticketschool.com/flp/Registration?Aff=434,FALSE,Florida Learner’s Permit Test,Take your Class E knowledge exam online.,Take the Exam,DMV Approved|Available 24/7,florida_exam,/terms,/privacy,Take the official Class E knowledge exam online from home.
il-adult-ed,IL,Illinois Adult Driver Education,Adult Driver Ed,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,6,49,"Ages 18–20, first-time license, no prior driver ed",10 ID questions; must pass random checks,Reported to Illinois SOS,Electronic/SOS record,Not specified,https://courses.ticketschool.com/ilade/Registration?affiliate=434,FALSE,Get Licensed the Right Way,Illinois SOS-approved Adult Driver Education online.,Enroll Now,SOS Approved|Mobile Friendly|Free Reporting,illinois_adult_ed,/terms,/privacy,State‑approved driver education for adults; includes the knowledge exam where applicable.
la-di,LA,Louisiana Driver Improvement,Driver Improvement,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,6,34.95,Court-approved for ticket dismissal; verify with your court,10 yes/no ID questions during registration; random checks in-course,Student typically submits certificate to court,E-certificate available; student delivers to court/insurer,Must complete within 180 days of registration,https://courses.ticketschool.com/LA/registration/?Aff=434,FALSE,Dismiss Your Ticket Online,"Court-approved Louisiana Driver Improvement, 100% online.",Start Course,Court Approved|Mobile Friendly|No Timers,louisiana_di,/terms,/privacy,Court/DMV‑approved driver improvement to satisfy requirements or reduce points.
mi-bdic,MI,Michigan Basic Driver Improvement (BDIC),BDIC,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4,34.95,Must be SOS-eligible via letter,10 yes/no ID questions validated during course,Provider reports to MI SOS within 1 business day,No final exam; completion recorded with SOS,Not specified,https://courses.ticketschool.com/mi/registration/?Aff=434,FALSE,Keep Points Off Your Record,SOS-approved Michigan BDIC—complete online in about 4 hours.,Start BDIC,SOS Approved|Mobile Friendly|No Final Exam,michigan_bdic,/terms,/privacy,Michigan SOS‑approved BDIC to prevent points and insurance increases after eligible tickets.
mo-dip,MO,Missouri Driver Improvement Program (DIP),Driver Improvement,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,8,29.95,Approved statewide; court authorization required,Standard ID questions during course,E-certificate; student may submit to court/insurer,Free e-certificate,Not specified,https://courses.ticketschool.com/mo/registration/?Aff=434,FALSE,Avoid Points in Missouri,8-hour DIP approved by Missouri Safety Center.,Start DIP,State Approved|Free E-certificate|Available 24/7,missouri_dip,/terms,/privacy,Court/DMV‑approved driver improvement to satisfy requirements or reduce points.
ny-ipirp,NY,New York Defensive Driving (IPIRP),IPIRP,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,5.5,24.95,4-point reduction and 10% insurance discount,Login ID + phone call-in checkpoints,Original completion certificate mailed; DMV handles point reduction,Original certificate mailed (US Mail or overnight options),Unit quizzes with multiple attempts,https://courses.ticketschool.com/nysdd/Registration/Step1?affiliate=434,FALSE,Save on Insurance & Reduce Points,DMV-approved New York IPIRP online.,Start Course,DMV Approved|Insurance Discount|Point Reduction,newyork_ipirp,/terms,/privacy,DMV‑approved defensive driving for insurance discount and point reduction in New York.
ny-5hr,NY,New York Online Pre-Licensing (5-hour),Pre-Licensing,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4.5,49,Age 18+; complete within 30 days of registration,10 ID questions + phone call system; 3 failed attempts => disqualification,Completion reported electronically to NY DMV within 24–48 hours,No certificate; DMV record updated,Unit quizzes 70% to pass; 3 attempts per unit,https://courses.ticketschool.com/nys/Registration/Step1?affiliate=434,FALSE,NY 5‑Hour Pre‑Licensing,Meet the DMV requirement online and schedule your road test.,Start 5‑Hour Course,DMV Approved|No Final Exam|24/7 Access,newyork_prelicensing,/terms,/privacy,New York 5‑hour pre‑licensing course required before scheduling your road test.
tn-driver-ed,TN,Tennessee Online Driver Education Course,Driver Education,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,4,29.95,TDOS-approved; ticket dismissal or point reduction (with court approval),10 ID questions; random checks during course,Electronic certificate; submit to court/insurer as required,Electronic certificate (PDF) after completion,Not specified,https://courses.ticketschool.com/TN/registration/?Aff=434,FALSE,Dismiss Your Ticket in Tennessee,4-hour TDOS-approved online driver education.,Start Course,State Approved|E-Certificate|No Final Exam,tennessee_driver_ed,/terms,/privacy,4‑hour state‑approved driver education; mobile‑friendly with instant certificate.
tx-defensive,TX,Texas Defensive Driving,Defensive Driving,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,6,25,TDLR-approved; ticket dismissal with court approval; insurance discount,10 ID questions from DL/registration data; ≥70% to pass checks,Emailed certificate (free); student submits to court/insurer,Free electronic certificate by email,Not specified,https://courses.ticketschool.com/TEX/register_2.asp?Aff=434,FALSE,Dismiss Your Ticket the Easy Way,6-hour TDLR-approved defensive driving—certificate emailed free.,Start Course,TDLR Approved|Free E‑Certificate|Mobile Friendly,texas_defensive,/terms,/privacy,State‑approved defensive driving for ticket dismissal and insurance savings.
tx-adult-ed,TX,Texas Adult Driver Education,Adult Driver Ed,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,6,29.95,Required for drivers age 18–24; recommended for 25+; includes DPS written exam,10 ID questions; must answer ≥70% during random checks,E-certificate; student proceeds to DPS per state process,E-certificate (PDF) included,Not specified,https://courses.ticketschool.com/txade/Registration?affiliate=434,FALSE,Adult Driver Ed (18–24),6-hour TDLR-approved course—DPS knowledge exam included.,Start Adult Ed,State Approved|DPS Test Included|E‑Certificate,texas_adult_ed,/terms,/privacy,State‑approved driver education for adults; includes the knowledge exam where applicable.
va-driver-improvement,VA,Virginia Driver Improvement,Driver Improvement,English,Partner,TicketSchool,TicketSchool,Provided by TicketSchool,8,34.95,"DMV-approved; court-ordered, insurance discount, or safe driver points",10 ID questions; random checks; multiple failures may disqualify,Free reporting to VA DMV; certificate PDF available immediately,E-certificate (PDF) immediately after completion,Not specified,https://courses.ticketschool.com/VA2/registration/?Aff=434,FALSE,Virginia Driver Improvement Clinic,8-hour DMV-approved online course with free DMV reporting.,Start Course,DMV Approved|E‑Certificate|Free DMV Reporting,virginia_driver_improvement,/terms,/privacy,Court/DMV‑approved driver improvement to satisfy requirements or reduce points.